<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GheymatVazniAr,d,20220717,000000,354694,354694,350571,350571,3451909945
GheymatVazniAr,d,20220719,000000,350562,350781,350241,350241,2413602071
GheymatVazniAr,d,20220720,000000,350262,350958,350262,350958,2031181443
GheymatVazniAr,d,20220723,000000,351480,352268,345751,345751,3549596094
GheymatVazniAr,d,20220724,000000,345858,345858,343465,343465,3653697534
GheymatVazniAr,d,20220725,000000,343256,343256,337392,337392,3974536824
GheymatVazniAr,d,20220726,000000,337412,337872,337104,337165,3456940908
GheymatVazniAr,d,20220727,000000,337235,338524,337235,338399,2840354840
GheymatVazniAr,d,20220730,000000,338565,339649,337612,337612,3191221647
GheymatVazniAr,d,20220731,000000,337533,337533,333453,333545,4329691317
GheymatVazniAr,d,20220801,000000,333672,334519,333672,334507,2652571059
GheymatVazniAr,d,20220802,000000,334546,335074,334546,335073,2848526886
GheymatVazniAr,d,20220803,000000,335190,336793,333715,333715,3680931606
GheymatVazniAr,d,20220806,000000,334065,336400,334065,336395,4157733083
GheymatVazniAr,d,20220809,000000,336473,337338,336275,337096,4906241344
GheymatVazniAr,d,20220810,000000,337185,337319,336288,336288,3551540260
GheymatVazniAr,d,20220813,000000,336912,340615,336912,340613,5239439535
GheymatVazniAr,d,20220814,000000,341340,341340,339768,339768,6176498315
GheymatVazniAr,d,20220815,000000,339795,339855,339268,339778,6474539937
GheymatVazniAr,d,20220816,000000,340563,340600,338793,338793,7636041152
GheymatVazniAr,d,20220817,000000,339085,339085,336912,336914,7265415746
GheymatVazniAr,d,20220820,000000,336579,336579,333986,333986,5343986018
GheymatVazniAr,d,20220821,000000,334003,334118,331669,331669,4314797594
GheymatVazniAr,d,20220822,000000,331732,332021,329336,329336,5077545730
GheymatVazniAr,d,20220823,000000,329444,330951,329444,330951,4846147777
GheymatVazniAr,d,20220824,000000,330997,333477,330997,333470,5447693572
GheymatVazniAr,d,20220827,000000,333711,335492,333711,335244,5398058785
GheymatVazniAr,d,20220828,000000,335126,335126,333866,333866,5253074301
GheymatVazniAr,d,20220829,000000,333921,334423,333921,334109,3917699137
GheymatVazniAr,d,20220830,000000,334219,334257,333203,333203,3800683045
GheymatVazniAr,d,20220831,000000,333235,333235,332777,332782,3441130629
GheymatVazniAr,d,20220903,000000,332638,332638,329900,329902,4127301895
GheymatVazniAr,d,20220904,000000,329941,330042,329709,329709,2885752236
GheymatVazniAr,d,20220905,000000,329860,330160,329679,329679,3195832158
GheymatVazniAr,d,20220906,000000,329725,329725,328305,328305,3122624983
GheymatVazniAr,d,20220907,000000,328367,328375,326462,326462,3271956262
GheymatVazniAr,d,20220910,000000,326361,326361,322884,322884,3692387279
GheymatVazniAr,d,20220911,000000,322878,322878,321335,321335,3309090789
GheymatVazniAr,d,20220912,000000,321384,321751,320918,320928,3332190140
GheymatVazniAr,d,20220913,000000,320986,321953,320986,321888,3724978547
GheymatVazniAr,d,20220914,000000,322019,322118,320953,320957,3143345676
GheymatVazniAr,d,20220918,000000,320938,320938,318373,318374,3137910527
GheymatVazniAr,d,20220919,000000,318366,318366,317427,317427,2932388592
GheymatVazniAr,d,20220920,000000,317456,317456,315863,315863,2870983028
GheymatVazniAr,d,20220921,000000,315707,315707,313130,313132,3064290056
GheymatVazniAr,d,20220924,000000,312958,312958,306880,306881,4240935735
GheymatVazniAr,d,20220926,000000,306826,308328,306826,308328,3109279792
GheymatVazniAr,d,20220928,000000,308461,311176,308461,311127,3430874071
GheymatVazniAr,d,20221001,000000,311054,311054,307503,307503,4388547209
GheymatVazniAr,d,20221002,000000,307412,307412,305030,305030,3467367713
GheymatVazniAr,d,20221003,000000,305072,305162,304266,304266,2898458792
GheymatVazniAr,d,20221004,000000,304291,304291,303133,303144,2480022229
GheymatVazniAr,d,20221008,000000,303330,304168,303330,303806,2963680984
GheymatVazniAr,d,20221009,000000,303619,303619,301119,301121,3760512199
GheymatVazniAr,d,20221010,000000,301186,301277,300579,300853,3030823216
GheymatVazniAr,d,20221011,000000,300989,303082,300989,303082,3197167738
GheymatVazniAr,d,20221012,000000,303169,304514,303169,304514,2842461871
GheymatVazniAr,d,20221015,000000,304525,304559,304077,304077,2743740738
GheymatVazniAr,d,20221016,000000,304072,304072,302551,302553,3207091850
GheymatVazniAr,d,20221017,000000,302542,302548,302393,302511,2815071286
GheymatVazniAr,d,20221018,000000,302597,303149,302597,302846,2488776350
GheymatVazniAr,d,20221019,000000,302829,302831,302292,302293,2030745102
GheymatVazniAr,d,20221022,000000,302520,302705,299050,299050,2397804790
GheymatVazniAr,d,20221023,000000,299155,299155,296271,296271,3070360631
GheymatVazniAr,d,20221024,000000,296031,296031,291915,291916,3472720212
GheymatVazniAr,d,20221025,000000,291850,291906,289477,289477,3278342294
GheymatVazniAr,d,20221026,000000,289396,289396,283532,283538,4712224715
GheymatVazniAr,d,20221029,000000,284090,284911,284090,284352,4401161572
GheymatVazniAr,d,20221030,000000,284474,286599,284474,286599,3568133950
GheymatVazniAr,d,20221031,000000,286728,290110,286728,290110,3845520432
GheymatVazniAr,d,20221101,000000,290375,292539,290375,292537,3809854928
GheymatVazniAr,d,20221102,000000,292561,293242,292276,293242,3509472414
GheymatVazniAr,d,20221105,000000,293763,303473,293763,302808,6342987241
GheymatVazniAr,d,20221106,000000,303725,306536,303725,306502,5752447358
GheymatVazniAr,d,20221107,000000,307071,316777,307071,316777,7914598158
GheymatVazniAr,d,20221108,000000,319221,322134,319221,320876,11288502166
GheymatVazniAr,d,20221109,000000,320644,322385,319721,322385,8349631653
GheymatVazniAr,d,20221112,000000,323030,325250,323030,325047,6303846423
GheymatVazniAr,d,20221113,000000,324915,324915,323456,323456,5889124081
GheymatVazniAr,d,20221114,000000,323429,323429,320940,320956,5068437865
